time_span,x,y,z,vx,vy,vz
2459884.500000000, -5.857953982930011E+07, -2.262982176636750E+07,  3.510915036759741E+06,  6.429152998439125E+00, -4.441967383869140E+01, -4.107197739731628E+00
2459885.500000000, -5.789417108991548E+07, -2.643434417133345E+07,  3.147162520162183E+06,  9.428805283783628E+00, -4.361147503617175E+01, -4.310554897518223E+00
2459886.500000000, -5.695179718191873E+07, -3.015947965785566E+07,  2.766509127959641E+06,  1.237434265889090E+01, -4.258104290935219E+01, -4.497997085254697E+00
2459887.500000000, -5.575817958076663E+07, -3.378585035271083E+07,  2.370444661335455E+06,  1.524011858639093E+01, -4.132517951964050E+01, -4.666821113929618E+00
2459888.500000000, -5.432140592061518E+07, -3.729404695676147E+07,  1.960701475257237E+06,  1.799818995415025E+01, -3.984648369100780E+01, -4.814152677616581E+00
2459889.500000000, -5.265201952941769E+07, -4.066515664117299E+07,  1.539259539596641E+06,  2.061993546849289E+01, -3.815390438744179E+01, -4.937171948914497E+00
2459890.500000000, -5.076300461511732E+07, -4.388131952262910E+07,  1.108332086722698E+06,  2.307775964741522E+01, -3.626284598498661E+01, -5.033334934492430E+00
2459891.500000000, -4.866962465651056E+07, -4.692627465985744E+07,  6.703328323607594E+05,  2.534676785649827E+01, -3.419482228339661E+01, -5.100576382836573E+00
2459892.500000000, -4.638912134927348E+07, -4.978585746220332E+07,  2.278269323964268E+05,  2.740630128676135E+01, -3.197668420238662E+01, -5.137481363979287E+00
2459893.500000000, -4.394029066978004E+07, -5.244841371144924E+07, -2.165311333348528E+05,  2.924123078518207E+01, -2.963947241864360E+01, -5.143414712036668E+00
2459894.500000000, -4.134296070360849E+07, -5.490510084898710E+07, -6.600687377823740E+05,  3.084292441425604E+01, -2.721696919425078E+01, -5.118600216640013E+00
2459895.500000000, -3.861740236649930E+07, -5.715005442559960E+07, -1.100170764271844E+06,  3.220982458030335E+01, -2.474404198222055E+01, -5.064144610889647E+00
2459896.500000000, -3.578370864363718E+07, -5.918040619935787E+07, -1.534354884748682E+06,  3.334759527335559E+01, -2.225488399791774E+01, -4.982004844091606E+00
