Complexity,Loss,Equation
1,9.81705e-6,"1.8084185e-8"
3,6.120964e-9,"x1 * -0.00029610598"
7,1.6966332e-12,"x1 * (-0.00029641352 - (x0 * 9.88725e-7))"
9,1.696478e-12,"((-0.020821538 - (x0 * 9.887754e-7)) + 0.020525124) * x1"
11,3.3592985e-16,"(-0.00029629032 - (x0 * (9.899585e-7 + (2.2046156e-9 * x0)))) * x1"
12,3.2833583e-16,"x1 * (-0.0002962907 - ((x0 * 9.899746e-7) + (square(x0) * 2.199268e-9)))"
13,3.2683026e-16,"(x1 * 0.078449175) * (-0.0037768492 - (x0 * ((x0 * 2.805849e-8) + 1.2619311e-5)))"
15,3.2681842e-16,"x1 * ((-0.0037768492 - ((x0 * 1.2619311e-5) + ((x0 * x0) * 2.8058514e-8))) * 0.078449175)"
17,1.652683e-17,"(-0.00029629067 - ((square((square(x0) * 0.0010454948) + x0) * 2.199268e-9) + (x0 * 9.894597e-7))) * x1"
19,5.940447e-18,"(-0.00029629067 - ((square(x0 + ((x0 + square(x0)) * 0.0010122722)) * 2.1992645e-9) + (x0 * 9.894597e-7))) * x1"
21,2.2923292e-18,"(-0.00029629067 - ((square(((square(x0 + 0.41436958) + 5.9046826) * 0.00098673) + x0) * 2.199268e-9) + (x0 * 9.894597e-7))) * x1"
22,2.2193665e-18,"(-0.00029629067 - ((x0 * 9.894597e-7) + (square((((x0 * (x0 + 0.85595036)) + 6.572) * 0.00098673) + x0) * 2.199268e-9))) * x1"
24,2.2041429e-18,"x1 * (-0.00029629067 - ((x0 * 9.894597e-7) + (square((((((x0 + -0.08607854) * x0) + 6.902426) + x0) * 0.00098673) + x0) * 2.1990052e-9)))"
26,2.203262e-18,"(-0.00029629067 - ((x0 * 9.894597e-7) + (square((((((x0 + -0.08607854) * x0) + 1.1102861) + (x0 + 5.9046826)) * 0.00098673) + x0) * 2.1990052e-9))) * x1"
30,2.2001009e-18,"(-0.00029629067 - ((x0 * 9.894597e-7) + (square(x0 + ((((((x0 + -0.08607854) * x0) + (-0.13309532 + 1.4486347)) + x0) + (-1.2530499 / -0.2267684)) * 0.00098673)) * 2.1990052e-9))) * x1"
