Complexity,Loss,Equation
1,9.81705e-6,"1.8029835e-8"
3,6.120964e-9,"x1 * -0.00029610592"
7,1.6966351e-12,"((x0 * -9.887334e-7) - 0.00029641372) * x1"
9,1.6966323e-12,"((x1 * (x0 * -0.003335684)) - x1) * 0.00029641367"
11,1.6966296e-12,"((x0 + -4.1607802e-7) * (x1 * -9.887541e-7)) - (x1 * 0.0002964136)"
13,5.156241e-16,"(x1 * (x0 * (-9.898833e-7 - (x0 * 2.1921298e-9)))) - (x1 * 0.00029629216)"
14,3.4757817e-16,"(x1 * ((x0 * -9.9003e-7) - (square(x0) * 2.2011228e-9))) - (x1 * 0.00029629082)"
15,3.2664007e-16,"((x0 * (x1 * (-3.962858e-5 - (x0 * 8.810384e-8)))) - (x1 * 0.011860489)) * 0.02498132"
18,3.2662808e-16,"(((x1 * (x0 * -3.962858e-5)) - ((square(x0) * 8.810532e-8) * x1)) - (x1 * 0.011860489)) * 0.02498132"
19,3.2662435e-16,"((((x1 * x0) * -3.962858e-5) - (((x0 * x0) * x1) * 8.810458e-8)) - (x1 * 0.011860489)) * 0.02498132"
21,3.2661718e-16,"0.02498132 * ((((x1 * x0) * -3.962858e-5) - (8.810384e-8 * (0.023410296 + (x0 * (x0 * x1))))) - (x1 * 0.011860489))"
23,2.4182579e-17,"((((x0 * -0.0033401432) * x1) - ((7.431001e-6 * ((x1 + (x0 * (x1 * 0.0014210589))) * x0)) * x0)) - x1) * 0.0002962907"
25,2.681394e-19,"(((x1 * -1.7457342e-5) * x0) - ((x0 * (((x0 * (x1 * 0.0018893242)) + x1) * (x0 * 3.8888857e-8))) - (x1 * -0.005227271))) * 0.056681693"
