Complexity,Loss,Equation
1,111.89645,"x1"
3,9.8107275e-6,"x0 - x0"
7,9.810686e-6,"((x1 + x0) - x1) - x0"
9,9.8102e-6,"(((x0 - x1) - x0) + x1) * x0"
10,9.8096925e-6,"square(x0) * (x0 - ((x0 * x0) / x0))"
11,9.802164e-6,"sqrt(square(((x0 - x1) - x0) + x1)) * x1"
12,1.8326924e-8,"x0 * -0.00029572583"
14,1.8326766e-8,"x0 - (x0 * 1.0002958)"
16,1.832385e-8,"x0 * ((x0 + -0.00029599748) - x0)"
18,1.816848e-8,"(x0 * (x0 + (0.9997044 - x0))) - x0"
23,6.1167973e-9,"(x0 * -0.0002961002) - 0.000110570116"
25,1.6976752e-12,"x0 * (-0.00029665988 - (x0 * 9.891286e-7))"
27,1.6976706e-12,"(x0 * (x0 * -9.891309e-7)) - (x0 * 0.0002966598)"
30,1.697668e-12,"(square(x0) * -9.891411e-7) - ((x1 + (x0 - x1)) * 0.00029665985)"
