Complexity,Loss,Equation
1,111.89645,"x1"
3,9.8107275e-6,"x0 - x0"
6,9.810713e-6,"x0 - (square(x0) / x0)"
7,9.810684e-6,"((x0 + x1) - x0) - x1"
8,9.81048e-6,"(x0 - (square(x0) / x0)) * x1"
9,9.8096925e-6,"(x0 - (square(x0) / x0)) * square(x0)"
10,9.808475e-6,"x1 * ((x0 - (square(x0) / x0)) * x0)"
11,9.806442e-6,"x0 * ((((x0 + x1) - x0) - x1) * x1)"
12,1.8326924e-8,"x0 * -0.00029572583"
14,1.8326766e-8,"(x0 * -1.0002958) + x0"
16,1.832385e-8,"x0 * ((x0 + -0.00029600915) - x0)"
18,1.816848e-8,"(x0 * (x0 + (0.9997044 - x0))) - x0"
20,1.8037145e-8,"x0 + (x0 - (x0 * ((x0 + 2.0002959) - x0)))"
22,1.7879396e-8,"((x0 + x0) + x0) - ((x0 + (3.0002954 - x0)) * x0)"
23,6.1167977e-9,"(x0 * -0.0002961003) - 0.000110571054"
25,1.6976743e-12,"((x0 * -9.89132e-7) + -0.00029665994) * x0"
26,1.6976665e-12,"((-0.00029665997 / x0) + -9.891279e-7) * square(x0)"
